Time,Value
0,21.207592441913587
0.23023712957550146,11.62071790308912
0.7730498882040204,5.8558816324575
1.4086248381564044,6.21702292094926
2.245520227201735,4.279305207183701
3.106341653112355,4.226259393282241
3.7169568284079495,4.1614056520838485
4.337800977400752,4.198496836284874
4.465601245158633,4.198496836284874
4.561963624651129,4.198496836284874
4.953408913366157,4.236212716586737
5.2745562424608465,4.288903350599918
5.429970403282806,4.288903350599918
5.902517035138568,4.4749716204101775
5.904638527671617,4.4749716204101775
5.923009596821966,4.4749716204101775
6.188011973709763,4.537178380279954
6.3659421457595755,4.537178380279954
6.993340604187288,4.7452292752470955
7.815569942052327,5.081735233852083
8.29733727979532,5.2231718815821075
8.500292501674316,5.296457847585678
9.48503680340591,5.667136757358958
10.42719493280418,5.460631510815864
11.180623110291943,5.678107168268123
11.590767538756682,5.8982973622644534
11.691504785684748,5.8982973622644534
12.091668275016383,5.8982973622644534
12.938655687672478,5.944789857833771
13.307723718204944,6.149169317919711
13.554991361402866,6.149169317919711
14.11604307974842,6.347204384792238
14.309890990987276,6.347204384792238
14.70950192287117,6.753856797289458
15.260299476223596,6.861219758921666
15.830072798927795,7.169705716328097
16.21530166978049,7.435633172170602
16.932881977203255,7.6464079353401875
17.930810286737984,8.200717441259034
18.087527650547774,8.200717441259034
18.37818107068261,8.304007422618078
18.751594267074168,8.563649317948794
18.853080831600472,8.563649317948794
19.746203871235526,8.808344354620024
20.731276837674606,9.160736568329026
21.34080934796863,9.365482412381962
22.203253139723316,9.675984555520877
23.15400765985533,10.044024636562428
23.795063198368204,10.266996536905143
24.70610618900702,10.386299843952521
25.53963232549026,10.913114500435723
25.983998914303132,11.042987448651877
26.77127642151573,11.173129814417772
27.00791024277262,11.254285999666486
27.26324294736618,11.342950555411852
27.564566199453456,11.342950555411852
27.664764626048548,11.386358236843941
28.558159952907463,11.658300223353624
28.643843179588462,11.658300223353624
29.467366591869624,11.86090209053974
29.599196405894787,11.86090209053974
29.8959188950889,11.981075513518382
29.94453326764897,11.981075513518382
30.18080960922971,12.022478523309577
30.3880195167071,12.022478523309577
30.90964381753558,12.136203681077898
